YBR031W,YMR194W
YKL006W,YMR194W
YFR032C-A,YHR010W
YFR032C-A,YIL148W
YFR032C-A,YOR312C
YFR032C-A,YJR094W-A
YBR031W,YFR032C-A
YFR032C-A,YPL131W
YLR029C,YNL162W
YBR031W,YLR029C
YKL006W,YLR029C
YDL075W,YLR061W
YKR094C,YLR061W
YLR061W,YNL162W
YDL133C-A,YLR061W
YGL030W,YLR061W
YHL033C,YLR061W
YHR203C,YNL178W
YDL083C,YNL178W
YMR143W,YNL178W
YDR064W,YER102W
YGR118W,YLR167W
YIL069C,YLR167W
YDR450W,YLR167W
YLR167W,YOR096W
YKL156W,YLR167W
YCR031C,YJL190C
YCR031C,YJR145C
YBL072C,YCR031C
YCR031C,YGR027C
YCR031C,YOR167C
YBR154C,YGL043W
YKR057W,YOL121C
YJL190C,YOL121C
YER102W,YOL121C
YLR388W,YOL121C
YGR118W,YKR057W
YIL069C,YKR057W
YKR057W,YLR287C-A
YKR057W,YOR182C
YDR450W,YKR057W
YKR057W,YOR293W
YER074W,YJL190C
YJL190C,YLR287C-A
YJL190C,YOR182C
YHL015W,YJL190C
YJL190C,YOR293W
YIL148W,YPR102C
YHR141C,YPR102C
YIL018W,YPR102C
YBL027W,YPR102C
YDL136W,YPR102C
YDL191W,YPR102C
YBL087C,YHR010W
YHR010W,YIL018W
YHR010W,YOL120C
YHR010W,YML073C
YBR191W,YHR010W
YDL075W,YKR094C
YDL075W,YOR063W
YIL148W,YMR242C
YBL087C,YIL148W
YDL133C-A,YKR094C
YGL030W,YKR094C
YKR094C,YOR063W
YHL033C,YKR094C
YIL133C,YIL148W
YIL148W,YLR185W
YBR191W,YIL148W
YOR312C,YPR043W
YHR141C,YMR242C
YBL087C,YOR312C
YIL018W,YMR242C
YMR242C,YOL120C
YBL027W,YMR242C
YDL136W,YMR242C
YDL191W,YMR242C
YOR063W,YOR312C
YIL133C,YOR312C
YBR191W,YOR312C
YBL087C,YJR094W-A
YJR094W-A,YOL120C
YBR084C-A,YPR043W
YIL133C,YJR094W-A
YLR185W,YPR043W
YJR094W-A,YML073C
YBR191W,YJR094W-A
YBR031W,YNL162W
YKL006W,YNL162W
YHR141C,YLR185W
YER056C-A,YHR141C
YIL069C,YPR132W
YGR118W,YPL090C
YDL083C,YGR118W
YDR450W,YPR132W
YGL123W,YGR118W
YKL156W,YPR132W
YGR118W,YMR116C
YGR118W,YHL015W
YOR369C,YPR132W
YOL040C,YPR132W
YBR181C,YER074W
YIL069C,YPL090C
YDL083C,YIL069C
YGL123W,YIL069C
YER074W,YLR441C
YIL069C,YMR116C
YER074W,YGR027C
YER074W,YOR167C
YOR182C,YPL090C
YER102W,YLR287C-A
YER102W,YOR182C
YLR287C-A,YML026C
YLR388W,YOR182C
YOR167C,YOR182C
YDL083C,YHR203C
YGL123W,YHR203C
YJR145C,YLR441C
YHL015W,YJR145C
YHR203C,YOL040C
YJR145C,YOR167C
YBR048W,YBR181C
YBR181C,YDR025W
YDR450W,YPL090C
YKL156W,YPL090C
YLR150W,YPL090C
YBR181C,YLR388W
YOR369C,YPL090C
YOL040C,YPL090C
YBL072C,YOR096W
YER102W,YKL156W
YER102W,YOR293W
YER117W,YIL018W
YER117W,YOL120C
YBL087C,YBR084C-A
YBL087C,YDL191W
YBL087C,YPL131W
YER117W,YML073C
YBR191W,YER117W
YBL087C,YDL082W
YFR031C-A,YIL133C
YBL092W,YIL018W
YIL018W,YLR185W
YER056C-A,YFR031C-A
YBR048W,YML026C
YBR048W,YJR123W
YBR048W,YGR214W
YDR025W,YLR441C
YBR048W,YLR150W
YDR025W,YGR027C
YDR025W,YOR167C
YBL092W,YOL120C
YER056C-A,YNL301C
YDL083C,YDR450W
YDL083C,YGL123W
YDL083C,YOL040C
YMR143W,YOL040C
YJR123W,YML026C
YDR450W,YMR116C
YDR450W,YHL015W
YGL189C,YML026C
YBR084C-A,YKL006W
YBR084C-A,YLR075W
YBL027W,YLR185W
YDL136W,YLR185W
YDL191W,YLR185W
YBR191W,YDL191W
YBR031W,YDL133C-A
YDL133C-A,YOR063W
YDL184C,YIL133C
YDL184C,YER056C-A
YBR031W,YGL030W
YBR031W,YHL033C
YGL030W,YOR063W
YHL033C,YOR063W
YOR063W,YPL131W
YLR075W,YOR063W
YDR045C,YJL140W
YDR045C,YOR224C
YML092C,YPR103W
YBL041W,YLR199C
YFL007W,YOR157C
YGL123W,YOL040C
YIL133C,YPL131W
YBR191W,YPL131W
YJR123W,YLR150W
YGL189C,YJR123W
YDL082W,YIL133C
YGR027C,YOR096W
YOR096W,YOR167C
YHR143W-A,YPR086W
YGL189C,YGR214W
YGR214W,YLR388W
YHL015W,YLR441C
YLR441C,YOR167C
YDR045C,YDR404C
YKL156W,YMR116C
YLR150W,YMR116C
YMR116C,YOR167C
YBL092W,YML073C
YHL015W,YOR167C
YDR045C,YOL005C
YGL189C,YLR150W
YDR045C,YHR143W-A
YER056C-A,YLR325C
YDL082W,YER056C-A
YBR191W,YDL082W
YOR167C,YOR293W
YGR029W,YKL195W
YNL178W,YPL081W
YBR181C,YPL081W
YGR214W,YPL081W
YBL045C,YJR048W
YDR529C,YFR033C
YDR529C,YEL024W
Q0105,YGR183C
YJR121W,YPL271W
YGL103W,YOL127W
YGL076C,YGL103W
YGL103W,YMR194W
YGL103W,YLR029C
YDL075W,YGL103W
YGL103W,YNL162W
YDL133C-A,YGL103W
YGL030W,YGL103W
YGL103W,YHL033C
YGL031C,YGL147C
YER117W,YGL031C
YGL031C,YIL018W
YGL031C,YOL120C
YBL092W,YGL031C
YGL031C,YML073C
YHR010W,YOL127W
YMR242C,YOL127W
YJR094W-A,YOL127W
YER117W,YOL127W
YOL120C,YOL127W
YBL092W,YOL127W
YJL189W,YLR340W
YJL189W,YPL143W
YJL189W,YPR043W
YJL189W,YKL006W
YJL189W,YLR075W
YER056C-A,YJL189W
YLR340W,YPL143W
YLR340W,YPR043W
YER056C-A,YLR340W
YGL076C,YLR344W
YGL076C,YPR102C
YGL076C,YMR242C
YGL076C,YLR185W
YER056C-A,YGL076C
YGL147C,YHR010W
YGL147C,YIL148W
YGL147C,YOR312C
YGL147C,YJR094W-A
YBR031W,YGL147C
YGL147C,YPL131W
YKL180W,YLR061W
YKL180W,YKR094C
YBR084C-A,YKL180W
YKL180W,YOR063W
YDL075W,YLR344W
YKR094C,YLR344W
YLR344W,YNL301C
YDL133C-A,YLR344W
YGL030W,YLR344W
YHL033C,YLR344W
YLR075W,YLR344W
YMR194W,YPL143W
YER056C-A,YPL143W
YHR010W,YMR194W
YJR094W-A,YMR194W
YMR194W,YPR043W
YER117W,YMR194W
YBL092W,YMR194W
YER117W,YFR032C-A
YFR032C-A,YIL133C
YBL092W,YFR032C-A
YHR010W,YLR029C
YJR094W-A,YLR029C
YER117W,YLR029C
YLR029C,YOL120C
YBL092W,YLR029C
YLR029C,YML073C
YIL148W,YLR061W
YHR141C,YLR061W
YIL018W,YLR061W
YLR061W,YOL120C
YBL027W,YLR061W
YDL136W,YLR061W
YDL191W,YLR061W
YLR061W,YML073C
YDR064W,YNL178W
YLR167W,YNL178W
YNL178W,YOL121C
YNL178W,YOR182C
YBL072C,YNL178W
YGR027C,YNL178W
YDR064W,YGR118W
YDR064W,YIL069C
YDR064W,YHR203C
YDR064W,YDR450W
YDR064W,YGL123W
YDR064W,YOL040C
YCR031C,YML026C
YCR031C,YGR214W
YCR031C,YLR150W
Q0130,YBL099W
YBR181C,YOL121C
YGR214W,YOL121C
YOL121C,YOR167C
YGR183C,YJL166W
YKR057W,YLR388W
YGL189C,YJL190C
YJL190C,YLR388W
YDL075W,YPR102C
YKR094C,YPR102C
YDL133C-A,YPR102C
YGL030W,YPR102C
YHL033C,YPR102C
YLR075W,YPR102C
YHR010W,YNL162W
YFR031C-A,YHR010W
YDL184C,YHR010W
YDL082W,YHR010W
YDL075W,YMR242C
YBL087C,YDL075W
YDL075W,YLR185W
YBR191W,YDL075W
YKR094C,YMR242C
YHR141C,YKR094C
YFR031C-A,YIL148W
YIL018W,YKR094C
YBL027W,YKR094C
YDL136W,YKR094C
YDL191W,YKR094C
YDL184C,YIL148W
YIL148W,YOR063W
YKR094C,YLR185W
YDL082W,YIL148W
YMR242C,YNL162W
YFR031C-A,YOR312C
YNL301C,YOR312C
YDL133C-A,YMR242C
YDL184C,YOR312C
YGL030W,YMR242C
YHL033C,YMR242C
YLR075W,YMR242C
YLR325C,YOR312C
YML073C,YOR312C
YDL082W,YOR312C
YJR094W-A,YNL162W
YFR031C-A,YJR094W-A
YDL184C,YJR094W-A
YER056C-A,YPR043W
YDL082W,YJR094W-A
YER117W,YNL162W
YNL162W,YOL120C
YBR084C-A,YHR141C
YHR141C,YOR063W
YBL092W,YNL162W
