PROTEIN_U,PROTEIN_V,PUBMED
YLR432W,YLR432W,18719252
YBR247C,YDR398W,29925570
YKL150W,YPL031C,16319894
YLL024C,YOL036W,19536198
YDR171W,YOR086C,19536198
YIL033C,YJL164C,8386630
YDR205W,YJR045C,25792736
YAL034W,YAL034W,24930965
YHR185C,YJL057C,16319894
YBR095C,YIL084C,22177115
YAL056W,YER020W,16924114
YER125W,YOR138C,19165343
YCL029C,YGL245W,16554755
YDR517W,YIL109C,16429126
YAL005C,YBR169C,20237159
YAL005C,YBR047W,19536198
YHR027C,YJL138C,18757749
YGR218W,YJR041C,26673895
YBR036C,YHR026W,16093310
YBR079C,YHR087W,22720784
YDR224C,YER110C,15679097
YGR013W,YKL074C,22287628
YFR019W,YFR021W,11536337
YCL059C,YOR310C,21558325
YBR142W,YGL099W,30568249
YGL021W,YLR133W,11283351
YLR103C,YPR019W,31728581
YFL050C,YFL050C,16903865
YBR221C,YCR079W,28539364
YML071C,YNL064C,19536198
YMR167W,YNL082W,11805826
YKL182W,YOL087C,11805837
YLL039C,YNR006W,26142280
YDR260C,YNL064C,11805837
YBL072C,YPR144C,28244370
YBL002W,YGL207W,22022426
YJR097W,YNR012W,19536198
YDR244W,YGR077C,10652355
YNL037C,YOR136W,16554755
YBR028C,YLL024C,19536198
YBR119W,YGR013W,16429126
YBR164C,YDR141C,18467557
YER054C,YER118C,14737190
YDL155W,YKR010C,20489023
YDL140C,YDR228C,12727883
YGL037C,YPL147W,23831759
YDR224C,YFL002C,21825077
YBR247C,YER074W,28244370
YMR110C,YMR186W,31399574
YMR127C,YOR213C,15659401
YGR095C,YHR069C,17942686
YGL184C,YJL164C,16319894
YBR060C,YIL131C,22265405
YGR214W,YKL152C,31062022
YDR092W,YLL024C,19536198
YIL137C,YNR051C,27580715
YCL018W,YNL135C,11805837
YKL076C,YNL209W,19536198
YBR009C,YGR246C,22199229
YER182W,YMR022W,14690591
YHR186C,YJR066W,28976958
YIL159W,YJL179W,19536198
YIL021W,YMR194W,33888559
YPL131W,YPL146C,29176610
YGR218W,YNL050C,26673895
YGL246C,YPL081W,31062022
YJL191W,YPL240C,25452130
YLR442C,YNL206C,17410207
YKL141W,YNL131W,30463002
YFL037W,YGR252W,21734642
YDR176W,YLR055C,12186975
YLR029C,YNL064C,19536198
YIL144W,YMR117C,23277429
YAL038W,YER031C,22940862
YNL004W,YPR190C,28096404
YAR002C,YAR002C,31454312
YDL097C,YOR276W,29775579
YGL019W,YML069W,14759368
YBR245C,YJR060W,12820973
YHR027C,YLL039C,18757749
YDR450W,YHR085W,31062022
YBR001C,YDR099W,11805826
YDL229W,YOL139C,11805837
YGL201C,YPR019W,18662997
YBR087W,YDL075W,31062022
YEL003W,YFL008W,19536198
YKL212W,YMR083W,16554755
YJR074W,YLR361C,30249596
YER172C,YHR165C,10449419
YJR135C,YPL233W,14690591
YDR064W,YPL218W,31062022
YBL039C,YFR034C,14660704
YGL011C,YHR200W,16429126
YLR113W,YMR276W,20489023
YDR318W,YKL049C,21070971
YBL061C,YLL026W,19536198
YDL188C,YGL190C,16554755
YKL049C,YPL226W,21070971
YAL012W,YDR450W,31062022
YDL140C,YDR359C,19822662
YNL102W,YPL106C,19536198
YBR081C,YGL112C,20498363
YDL126C,YDL190C,15652483
YBR143C,YMR116C,31062022
YER129W,YGL115W,16429126
YHL018W,YJL098W,20489023
YJL109C,YPR110C,29263326
YBR245C,YJL109C,29263326
YKR034W,YLR424W,18719252
YGR032W,YNL209W,19536198
YAL005C,YFR009W,19536198
YDR145W,YPL011C,16554755
YDL089W,YLR324W,11283351
YBL087C,YKL156W,31062022
YIL061C,YMR290C,11805837
YGR218W,YOR371C,11027275
YOR106W,YOR327C,24589832
YDR201W,YKR037C,11782438
YFR028C,YHR118C,22078879
YMR158W,YOR293W,31062022
YAL005C,YPR181C,19536198
YLR026C,YLR268W,25750128
YHR107C,YPL153C,17130285
YLR409C,YNL308C,28600509
YAL005C,YPL231W,19536198
YIL031W,YIR012W,23403034
YCR075C,YLL024C,22940862
YGL240W,YKL022C,12574115
YOL040C,YPL105C,31062022
YAR002W,YJL039C,18046405
YMR236W,YOR151C,21734642
YEL005C,YIL144W,22875988
YDR450W,YPL032C,31062022
YHR010W,YHR088W,29557065
YBL039C,YMR116C,31062022
YBL002W,YJR074W,30249596
YLR320W,YMR048W,26849847
YEL009C,YEL009C,16402857
YKL087C,YLR285W,11283351
YLR432W,YML062C,16429126
YNR053C,YPL093W,27251291
YML051W,YPL248C,11964151
YAL005C,YBR156C,19536198
YHR187W,YMR022W,14690591
YAL005C,YJR019C,25452130
YNL301C,YNR054C,15964808
YDL160C,YHR025W,26392412
YCR031C,YOR259C,31062022
YGR218W,YNL061W,26673895
YHR031C,YJR074W,30249596
YAL043C,YKR002W,25135474
YGL245W,YPR010C,16429126
YHL010C,YLR138W,11805837
YIR008C,YLR453C,11283351
YIL149C,YML028W,33894203
YDL108W,YNL206C,21460040
YIL095W,YOR181W,21035341
YLR418C,YNL227C,19536198
YLR447C,YPL050C,11283351
YDR129C,YOR007C,27068241
YDL226C,YFR051C,26578768
YBR185C,YGR046W,32877643
YER094C,YFL002C,21825077
YBR009C,YGL019W,22199229
YLL024C,YOR127W,19536198
YKL002W,YLL024C,19536198
YDR283C,YDR283C,25695491
YOR344C,YPL138C,22875988
YJR091C,YOR197W,11283351
YNL178W,YNL207W,28111018
YIL031W,YKL210W,23403034
