PROTEIN_U,PROTEIN_V,PUBMED
YNR016C,YPL235W,26831523
YFR024C,YHR178W,19841731
YLR430W,YNL075W,21724601
YER177W,YOR207C,30593915
YOR210W,YPR093C,26787877
YKL077W,YLR009W,28727280
YDR084C,YOL018C,16107716
YHR074W,YNL209W,23332755
YBR084W,YER036C,16260602
YDL175C,YOL115W,24097436
YDR247W,YER133W,20489023
YJL179W,YOR351C,19536198
YDL003W,YER164W,31582854
YDL132W,YML088W,11805837
YHR099W,YPL254W,25216679
YDL025C,YGR090W,20489023
YJR007W,YOR260W,9472020
YJL020C,YNL206C,19841731
YNL025C,YNL094W,10688190
YIL122W,YLL024C,19536198
YBR127C,YOR293W,31062022
YNL124W,YNL209W,15798213
YBR073W,YER179W,24465215
YAL005C,YMR116C,31062022
YBR173C,YER094C,16554755
YDR064W,YOL115W,31062022
YDL140C,YML010W,14759368
YEL030W,YLL007C,19536198
YPR103W,YPR103W,22940862
YFL014W,YOR315W,19536198
YGL066W,YGL252C,23819448
YMR032W,YNL007C,19536198
YKL142W,YNL161W,20489023
YDR324C,YJL109C,29263326
YGR059W,YMR065W,22875988
YDL229W,YFL007W,22940862
YDL229W,YPL061W,19536198
YGR092W,YPL106C,19536198
YER036C,YLL045C,16429126
YBL072C,YNL207W,25778921
YDL136W,YIR010W,21107429
YBR263W,YJL080C,27580715
YGL093W,YOL069W,14565975
YNL064C,YOL045W,19536198
YEL030W,YKL012W,19536198
YEL026W,YHR040W,31537647
YDR159W,YHR127W,17922018
YJL164C,YMR196W,16319894
YDL160C,YDR064W,26392412
YBR189W,YOR117W,18757749
YHL034C,YKR063C,22083961
YNL064C,YOR117W,18757749
YAL005C,YJL039C,19536198
YLR330W,YLR330W,18467557
YDL150W,YKR025W,10393904
YBL003C,YDL014W,16554755
YHL015W,YNL071W,31062022
YKL108W,YLR274W,21868389
YBR266C,YDL229W,19536198
YDL077C,YNL091W,29870720
YDR034C,YHR077C,16554755
YGL123W,YPL240C,26804907
YHR107C,YNL107W,22875988
YGR218W,YLL038C,26673895
YGR252W,YPL181W,12086626
YHR030C,YIL113W,10688190
YBR221C,YNL071W,16554755
YFL016C,YPR054W,11805837
YGR184C,YLR441C,31062022
YAL032C,YPR152C,21386897
YGL023C,YLR166C,16624861
YOR299W,YPR054W,11805837
YDR369C,YGL175C,30275497
YNL207W,YOL121C,21835981
YBR083W,YHR061C,14690591
YBR083W,YHR084W,16782869
YDR293C,YML104C,22875988
YER006W,YPR088C,21765803
YML094W,YNL153C,9463374
YBR167C,YDR064W,31062022
YIR008C,YPR135W,25697176
YDL160C,YGR178C,11283351
YBR171W,YPL227C,16093310
YKL166C,YPL203W,11805826
YOR096W,YOR310C,12150911
YBR247C,YNL232W,29925570
YBR046C,YPL240C,31399574
YMR198W,YPR141C,25626168
YDL229W,YLR121C,19536198
YML024W,YOL051W,31062022
YDR378C,YOR308C,21614000
YGR252W,YMR223W,15657442
YAL043C,YPL008W,12704082
YKL080W,YLR295C,11283351
YOR004W,YOR276W,25973932
YBR059C,YNR047W,28069741
YDL077C,YNL070W,25026036
YAL005C,YGL173C,25452130
YER040W,YNL189W,11331291
YIL115C,YLR378C,30682149
YAR002W,YLR166C,16624861
YDL229W,YKL043W,19536198
YJL109C,YOL041C,29263326
YHR059W,YLR074C,11805837
YLL045C,YPL211W,16429126
YBL099W,YKL077W,28727280
YDR233C,YDR233C,22940862
YER086W,YML085C,16429126
YDR172W,YNL007C,18353968
YBR196C,YPR029C,16429126
YPL106C,YPR155C,19536198
YDL077C,YNL182C,25026036
YDR145W,YGL158W,20489023
YPL129W,YPL235W,26831523
YJR072C,YOR224C,26711263
YDL123W,YDR196C,28183979
YBR138C,YOR231W,16319894
YOL091W,YPL055C,22875988
YLL024C,YLL060C,19536198
YJL127C,YKR099W,25228766
YDL082W,YMR214W,19536198
YIL070C,YPR015C,11805837
YDR385W,YML024W,31062022
YJL061W,YOR098C,8628268
YBR289W,YEL009C,15289616
YBL076C,YDR510W,23403034
YBL007C,YBL007C,19345193
YGL156W,YOL001W,20489023
YAL005C,YER154W,22940862
YOL127W,YPL043W,31062022
YDL155W,YNL209W,19536198
YBR048W,YNL207W,16429126
YDL077C,YMR231W,21325627
YBR280C,YDR328C,11283612
YJL076W,YJL127C,25228766
YER148W,YGL147C,12052880
YKL079W,YPL018W,22875988
YNR046W,YOL127W,22493060
YCL059C,YJR002W,15590835
YKL144C,YOR207C,20887893
YLL016W,YOR155C,19841731
YDL077C,YPL045W,25026036
YDR359C,YJL098W,20489023
YDR462W,YOL027C,16476776
YIL124W,YMR313C,21748599
YGR218W,YPL210C,26673895
YBR217W,YPR049C,11805837
YDR190C,YHR034C,28919439
YML092C,YMR186W,32868373
YGR274C,YML114C,16407318
YGR159C,YNL110C,17922018
YDL005C,YGR104C,25645928
YDL117W,YER118C,19841731
YER179W,YNL064C,19536198
YDR016C,YKR037C,17460120
YDR091C,YMR309C,14759368
YLL024C,YML065W,19536198
YGR103W,YLR113W,29738528
YML049C,YPR182W,11805826
YDL207W,YDR192C,10610322
YDR499W,YLR180W,11805837
YLR275W,YPR182W,16554755
YBR160W,YML119W,14574415
YCR012W,YML072C,16429126
YCL059C,YOR001W,31662437
YDL088C,YKL068W,18046405
YGL035C,YOL051W,17919657
YDL075W,YOR004W,31062022
YDL229W,YER062C,19536198
YLR240W,YMR054W,23904270
YOL133W,YOR341W,11805837
YBR127C,YMR284W,11805837
YDR190C,YOR204W,26831523
YLR441C,YML112W,31062022
YJR002W,YOR207C,30593915
YDR145W,YDR176W,25216679
YAL005C,YIL031W,19536198
YJR009C,YNL180C,11805837
YER040W,YNL229C,16554755
YJL090C,YNL209W,23332755
YGR218W,YLR096W,26673895
YIL021W,YOR174W,34543624
YGL049C,YMR125W,17922018
YDL014W,YKL156W,31062022
YIL160C,YNL064C,19536198
YPL012W,YPL146C,25877921
YNL136W,YPR023C,16554755
YGL111W,YPR144C,29361028
YLR293C,YOR207C,30593915
YDR392W,YGL066W,31969703
YKL120W,YNL007C,19536198
YER006W,YHR197W,26823502
YDR528W,YNL161W,21118957
YDL075W,YDL075W,29557065
YDL064W,YER041W,30479332
YBR059C,YMR144W,11283351
YJL052W,YLL060C,16554755
YDL147W,YFR052W,16429126
YOR061W,YOR061W,14759368
YDR142C,YGR239C,23812376
YDL229W,YER161C,19536198
YDL075W,YDL213C,31062022
YHR170W,YKL186C,18077551
YDR418W,YOR096W,31062022
YDL028C,YNL153C,19536198
YKL172W,YOL077C,18467557
YDR085C,YDR381W,15584090
YGL207W,YML085C,33963860
YBR251W,YJL131C,30927524
YDL053C,YJL057C,20489023
YDR450W,YLR116W,31062022
YLR344W,YLR419W,31062022
YDR334W,YJL081C,18408732
YBR142W,YLL019C,20489023
YBL032W,YHR203C,16429126
YHR143W,YIL021W,16554755
YGL150C,YPL235W,15045029
YDR293C,YLR247C,24155900
YDL017W,YEL023C,10688190
YDR174W,YGR274C,18187511
YNL209W,YPL247C,23332755
YDR510W,YMR229C,23403034
YBR283C,YDL095W,16554755
YCR077C,YNR027W,10900456
YKL172W,YOR294W,26122634
YOL005C,YOR224C,23418395
YHR039C,YLR216C,10688190
YGR196C,YIL131C,11805837
YAL005C,YOR375C,19536198
YBR125C,YGR218W,26673895
YDR238C,YFR051C,10921873
YDL209C,YFL009W,14690591
YJL061W,YJL061W,14759368
YGR162W,YMR125W,11805826
YGR104C,YNR010W,11383511
YML102W,YPR018W,21256037
YKR026C,YOR260W,11805837
YLR117C,YMR213W,11102353
YAL005C,YDR214W,25452130
YEL044W,YPL129W,12052880
YKR054C,YML092C,32868373
YBR160W,YDR130C,24186061
YMR078C,YOL094C,16429126
YDR413C,YER076C,14690591
YDR538W,YPR088C,21765803
YHL048W,YKL079W,11283351
YFL014W,YPL246C,19536198
YKL143W,YNL207W,16738661
YDL229W,YDR407C,22940862
YBR221C,YDL160C,26392412
YDL116W,YDR412W,20005841
YBL056W,YGR240C,11805826
YDR334W,YDR485C,24034246
YBL033C,YNL209W,23332755
YDR477W,YLR448W,26309257
YBR127C,YDR128W,11805837
YDL108W,YIL021W,34543624
YDR227W,YER151C,11805837
YGL207W,YGL207W,14759368
YBR081C,YEL055C,21734642
YLR229C,YNL298W,7649470
YDR381W,YOL004W,16554755
YBR181C,YJR063W,31062022
YLR220W,YOR085W,16093310
YGR168C,YIR018W,11283351
YDR330W,YJL187C,16319894
YCR031C,YGR175C,31062022
YDR463W,YLL024C,19536198
YAL005C,YPL178W,19536198
YER147C,YJL074C,16554755
YER093C,YMR214W,19536198
YKL039W,YML085C,16429126
YLR293C,YMR157C,34646016
YHR011W,YOR195W,22875988
YHR135C,YOR056C,16319894
YDR398W,YOR259C,11805837
YDR432W,YIL021W,18077427
YLR344W,YOR001W,31662437
YDR439W,YML034W,17043313
YOL040C,YPR144C,29361028
YLR424W,YNL224C,14690591
YMR308C,YPL209C,20489023
YDR328C,YOR057W,15456868
YJL080C,YOL040C,27580715
YGL212W,YLR093C,23438067
YGR078C,YMR109W,19536198
YDL072C,YGR274C,22875988
YDR075W,YNL064C,19536198
YIR038C,YPR113W,18719252
YJR105W,YNL106C,11805837
YLL024C,YLR383W,33301732
YLL026W,YPR093C,19536198
YIL149C,YPL169C,24500206
YLR268W,YPL232W,19591838
YCR084C,YPR190C,28096404
YGL238W,YNL178W,31062022
YDR477W,YJL110C,16319894
YDL165W,YJR072C,14690591
YOR117W,YOR259C,19446322
YCL029C,YDL229W,19536198
YCR028C,YCR028C,29931186
YBR179C,YLR368W,16735578
YAR007C,YER095W,30224481
YJL165C,YMR116C,31062022
YBR034C,YPR085C,14690591
YIL051C,YIL070C,21600990
YFR015C,YPL106C,19536198
YDR190C,YPL235W,11805837
YHL015W,YMR269W,31062022
YKL035W,YPL150W,11805837
YIL071C,YIL071C,16554755
YNL209W,YOL151W,23332755
YLR383W,YOR375C,11805837
YGR192C,YLR200W,19536198
YLR113W,YNL308C,29738528
YDR342C,YER048C,11283351
YER048C,YLR435W,19536198
YDL229W,YML028W,27634403
YHR027C,YOR351C,11805837
YCL059C,YLR186W,29263326
YER059W,YPL031C,11805837
YKL042W,YKR083C,22875988
YDR142C,YKL054C,18467557
YDR167W,YGL112C,21734642
YLR423C,YPR049C,15659643
YBR082C,YDL013W,26246605
YFL005W,YGR100W,22593206
YER029C,YPL157W,11983179
YDR388W,YIL063C,16554755
YBR254C,YDR407C,16429126
YMR128W,YOR288C,29263326
YDR364C,YNL004W,24452287
YBL067C,YER074W,22902402
YLR225C,YPL106C,19536198
YJL190C,YOR260W,31062022
YBR008C,YGL126W,33033181
YLR045C,YPL269W,10982392
YFR008W,YJR045C,25792736
YDL083C,YDR130C,19948764
YJR074W,YPL036W,30249596
YNL141W,YOR369C,31062022
YGR091W,YPL213W,21558325
YJL178C,YOR089C,23904270
YIL021W,YOL041C,34543624
YAL005C,YNL122C,19536198
YAL005C,YOR039W,19536198
YDR326C,YER007C,10688190
YJL115W,YPL254W,24824343
YIL078W,YOR001W,28539363
YBL023C,YDR052C,9407029
YCL028W,YGL025C,19026788
YHR076W,YNR016C,28539364
YBR236C,YNL209W,23332755
YDR510W,YDR510W,11283351
YHR119W,YLR015W,11742990
YBR010W,YNL330C,21646424
YCR057C,YMR229C,29263326
YDL132W,YDR328C,16790494
YDR297W,YPL076W,16093310
YAL012W,YLR344W,31062022
YNL178W,YNL284C,31062022
YFL008W,YIL021W,34543624
YAL022C,YPL240C,15879519
YBR272C,YLL022C,11805826
YBR193C,YDR308C,16554755
YGR128C,YMR093W,25501974
YDL136W,YDR333C,23178123
YLR275W,YPR182W,11283351
YBL004W,YER100W,11805837
YDL229W,YJR119C,19536198
YOL040C,YPR016C,31062022
YJR032W,YLR096W,16319894
YDL148C,YJR002W,29054886
YMR106C,YOR142W,11805837
YNL075W,YPR144C,29361028
YBR009C,YPL001W,8858151
YDL078C,YDR244W,11154700
YKR047W,YPR152C,16606443
YKL082C,YKL172W,25877921
YDL126C,YIL065C,30033679
YBR084W,YLL026W,27373154
YAL005C,YNL007C,17892321
YBR079C,YGL019W,16429126
YDR450W,YML024W,31062022
YAL027W,YML095C,29660012
YDR228C,YLR423C,10688190
YDR140W,YML123C,33166396
YMR183C,YPR055W,23897890
YCR093W,YIL038C,18467557
YOL004W,YPL240C,19536198
YAL005C,YOL144W,19536198
YFL047W,YLR430W,14690591
YDL140C,YGR086C,33226341
YGL105W,YOL040C,31062022
YHR197W,YPL093W,23142978
YLR167W,YOR124C,1429680
YFR028C,YOR373W,29738528
YGL001C,YKL156W,31062022
YNL117W,YPL240C,31399574
YJR105W,YPL204W,21460040
YDR381W,YGL122C,17922018
YBR106W,YPR113W,18467557
YGR214W,YMR242C,31062022
YBR253W,YCR081W,11805826
YLR166C,YNL007C,19536198
YAL024C,YLR438W,14660704
YDL072C,YLL026W,27373154
YAR019C,YDR335W,33481703
YDL087C,YPL213W,16618970
YFL037W,YOR265W,9914379
YBR274W,YLL024C,19536198
YGL048C,YKL010C,12447385
YGL172W,YJL041W,22940862
YER006W,YMR049C,11805837
YAL038W,YIL017C,22940862
YDL203C,YGR218W,26673895
YFR031C,YKL009W,19346338
YDR145W,YGL150C,12052880
YAL021C,YOL123W,21464899
YDR101C,YHR170W,23907389
YEL017C,YPR079W,16093310
YBR181C,YHR072W,31062022
YDR527W,YIL021W,33888559
YGL116W,YPR119W,14743219
YER021W,YIL149C,24500206
YJL047C,YLR320W,11805837
YBL087C,YNL131W,30463002
YJL008C,YOR281C,16429126
YGR076C,YLR344W,31062022
YDR078C,YHL006C,10688190
YDR171W,YMR075W,19536198
YDR359C,YFL024C,11805826
YBR118W,YLR430W,16429126
YGL147C,YGR214W,31062022
YER148W,YPL082C,11805826
YBL075C,YGR155W,19536198
YBR034C,YMR163C,14690591
YIL021W,YNL292W,34543624
YAL047C,YOR233W,17967947
YDR381W,YMR308C,11805826
YBL002W,YOR242C,32423992
YBL085W,YOL127W,31062022
YGR024C,YIR006C,14690591
YCR041W,YIL118W,11283351
YBL075C,YBL075C,31454312
YDL099W,YGR218W,26673895
YLR175W,YOR341W,21558325
YLR378C,YPL045W,30682149
YJL203W,YLR067C,9207794
YGR270W,YMR186W,19536198
YIL027C,YLR350W,18467557
YIR010W,YPR187W,21107429
YKL082C,YNL002C,23945946
YGL173C,YLR438C,14759368
YLR254C,YMR077C,22875988
YNL002C,YOL086C,23945946
YJL005W,YNL138W,14681455
YGL126W,YGR032W,33033181
YGR162W,YKL024C,26777405
YLR248W,YLR406C,29738528
YHR052W,YNL110C,24129494
YDR450W,YNL301C,31062022
YGR082W,YMR203W,1327874
YJL190C,YPL084W,31062022
YGR246C,YOR033C,31351878
YBR198C,YLR055C,19226466
YJR104C,YMR059W,11805837
YAR018C,YJL187C,22875988
YER125W,YOR340C,11283351
YLR293C,YOR230W,34646016
YDL229W,YPL055C,19536198
YLR113W,YNL209W,23332755
YGR103W,YPL093W,12374754
YDL195W,YLR150W,16429126
YDL077C,YOR341W,25026036
YAR002C,YML012W,10359606
YCR035C,YDL111C,16829593
YDR054C,YOL133W,14747994
YLR058C,YNL180C,30670610
YGR188C,YOR026W,24066227
YGL023C,YPL180W,29698392
YIL031W,YMR049C,23712011
YBR010W,YNL206C,20188666
YGL133W,YOR304W,14681455
YDL149W,YNL064C,19536198
YDL145C,YHR066W,16554755
YER048C,YGR262C,19536198
YGR103W,YJL109C,29263326
YBR010W,YDR103W,22199229
YBR109C,YNL281W,11805837
YDL185W,YPL081W,31062022
YDR450W,YKL056C,31062022
YDR407C,YPL240C,19536198
YDR357C,YLR314C,22875988
YLR233C,YLR318W,26365526
YDR414C,YEL017C,16093310
YDR224C,YDR489W,23499444
YJL008C,YPL222W,19536198
YBR072W,YDR496C,19536198
YDL192W,YLR052W,16429126
YGL189C,YHR114W,11283351
YBR142W,YLL024C,19536198
YER125W,YJL172W,17429078
YBL001C,YNL189W,11283351
YDL051W,YPL243W,16554755
YDL077C,YJL050W,25026036
YCR065W,YPL106C,19536198
YGL019W,YMR172W,16429126
YKL077W,YML123C,28727280
YIL033C,YPL061W,25065647
YBR274W,YFR028C,20489023
YCR086W,YLR378C,30682149
YBR186W,YIL072W,24367111
YMR116C,YMR128W,29263326
YJL014W,YMR128W,29263326
YDR054C,YKL210W,33888705
YDR295C,YER093C,22875988
YLR150W,YPR152C,16606443
YLR065C,YMR012W,27905431
YBL072C,YIL076W,31062022
YAL032C,YGR198W,14690591
YDL111C,YOL021C,17173052
YLR274W,YPR019W,27397685
YDL075W,YPL259C,31062022
YBR154C,YPR110C,16554755
YER126C,YOR206W,16429126
YBL099W,YDR322C,9271204
YDR064W,YMR022W,14690591
YJL138C,YMR083W,16554755
YGR258C,YLR430W,22286094
YCR057C,YMR128W,33326748
YLL036C,YOR308C,21614000
YAL005C,YPR119W,11160944
YCL018W,YDR200C,11805837
YER100W,YLL036C,25519137
YGL092W,YKL057C,9305650
YDR238C,YFR051C,16429126
YIL079C,YNL016W,32561742
YLR320W,YPR143W,26849847
YGR155W,YLL024C,19536198
YHR189W,YNR017W,25124039
YFR053C,YNL032W,11805837
YDR303C,YNL041C,14729968
YDR013W,YKL108W,32415104
YCL067C,YDL013W,20388728
YDR345C,YNR051C,20508643
YJL218W,YPL106C,19536198
YDL097C,YOR259C,11805826
YDL229W,YDR433W,19536198
YDR309C,YNL298W,10688190
YKL156W,YLR449W,31062022
YJR045C,YJR101W,25792736
YDR153C,YEL030W,19536198
YDR060W,YHR066W,23212245
YOL011W,YOL105C,11283351
YDR457W,YJR077C,27552055
YHR052W,YKL014C,15226434
YER086W,YGL123W,31062022
YBR039W,YOL121C,31062022
YDL229W,YDR056C,19536198
YJL109C,YKL156W,31062022
YLR150W,YLR320W,26849847
YBL104C,YPL240C,15766533
YHR030C,YPL003W,31564614
YMR012W,YNR051C,20508643
YDR333C,YML073C,28298488
YLR146C,YPL031C,16319894
YKL022C,YLR127C,16275330
YIL016W,YNL154C,16319894
YBL026W,YJL124C,10900456
YGL016W,YJL041W,25692596
YAL005C,YDL077C,29870720
YDL116W,YLR208W,10747086
YOR224C,YPR190C,28096404
YLR362W,YMR186W,9802897
YOL021C,YPR187W,16554755
YDR221W,YOR344C,22875988
YBR264C,YCL040W,11805837
YOR244W,YOR362C,23572591
YDR158W,YHR064C,19536198
YDL229W,YOL077C,19536198
YKL073W,YOL005C,19536198
YJL052W,YOL139C,11805837
YCL024W,YJR092W,21460040
YEL060C,YLR320W,26849847
YDL017W,YLL039C,11805837
YGL106W,YGL106W,11082046
YDL156W,YDR097C,16429126
YJL012C,YPL240C,19536198
YDR303C,YIL126W,14759368
YHR013C,YOL127W,17541948
YHR013C,YOL127W,31062022
YBR233W,YMR173W,11283351
YDR100W,YHR094C,18467557
YGL201C,YGR097W,15633294
YNR052C,YOR047C,11283351
YLR181C,YOR344C,22875988
YHL025W,YOR290C,25792597
YDL229W,YER142C,19536198
YOR341W,YPR010C,11918799
YER040W,YGR218W,26673895
YIL109C,YLR208W,18046405
YBR009C,YDL025C,32064518
YHR196W,YPL126W,15489292
YDR189W,YLR026C,25189771
YIL139C,YPL194W,16169844
YBR279W,YER164W,29019976
YGL137W,YLL039C,29058666
YJL053W,YPL106C,19536198
YIL031W,YMR194W,28487408
YGL150C,YPL129W,27768892
YEL026W,YPL193W,30700579
YDR392W,YPL254W,27647735
YCR031C,YNR023W,31062022
YLR113W,YPL240C,11805837
YJL164C,YKL008C,16319894
YDR207C,YNL330C,16286007
YDL220C,YHR208W,11805837
YBR263W,YOR293W,31062022
YDR228C,YDR301W,15565157
YDL145C,YDL160C,26392412
YAR031W,YBR069C,16093310
YDR450W,YJL148W,31062022
YBL038W,YDR164C,11805826
YBR127C,YLR093C,22940862
YCL059C,YMR194W,29263326
YGL158W,YOR044W,16319894
YHL018W,YPL070W,18719252
YDR054C,YOL133W,20542006
YOR018W,YPL106C,19536198
YER054C,YLL026W,19536198
YDR156W,YOL121C,31062022
YER125W,YOR181W,22000681
YGL137W,YOL133W,11805837
YLR293C,YOR160W,21329658
YDR164C,YNL272C,16611746
YDL098C,YER112W,16429126
YDR379W,YNL289W,17853895
YFR004W,YLL001W,20170199
YDR395W,YGR119C,11387327
YLR293C,YPL082C,34646016
YGR240C,YML085C,15116431
YBR189W,YHL034C,17456744
YFL045C,YNL209W,23332755
YLR372W,YML123C,16093310
YBR160W,YHL007C,24374311
YDR479C,YLR324W,11283351
YMR203W,YNL131W,31740857
YDL014W,YDR130C,19948764
YGR173W,YPL240C,31399574
YCR073C,YMR117C,9520439
YDL229W,YMR298W,19536198
YPL074W,YPL106C,19536198
YCL059C,YGR128C,29263326
YER125W,YIL021W,20489023
YCR063W,YPR152C,18719252
YLL021W,YLR319C,9632790
YLR216C,YMR186W,19536198
YNL230C,YOL041C,11805837
YEL002C,YER087C,16096345
YNL007C,YNL127W,19536198
YBL003C,YDL014W,24352239
YDL051W,YHR135C,16319894
YJR068W,YOR217W,14530260
YNL290W,YPL240C,19536198
YDR427W,YER148W,11805826
YKL058W,YOR194C,11238911
YFR037C,YLR321C,31886770
YHR193C,YMR140W,16554755
YFL005W,YPR032W,25404740
YDR320C,YJR092W,19536198
YDR177W,YER125W,17719829
YGR218W,YPL140C,26673895
YAL005C,YJL209W,19536198
YDR416W,YMR213W,21576257
YDL028C,YFR046C,27524485
YIL016W,YLR029C,22635919
YHL033C,YHR170W,22689654
YDR362C,YER148W,30593915
YDR482C,YPL213W,19789211
YML010W,YPR086W,12556496
YGR233C,YIL050W,11069666
YBR038W,YNL152W,26891268
YMR159C,YMR159C,19889643
YFL014W,YNR052C,19536198
YJL168C,YPL146C,22875988
YOR210W,YOR341W,16429126
YJL039C,YPL081W,31062022
YOR298W,YPL106C,19536198
YJL109C,YLR442C,29263326
YAL019W,YDL147W,16554755
YIL106W,YOR046C,20489023
YFR004W,YLR249W,16284124
YCR057C,YNL153C,19536198
YBL072C,YDL208W,31062022
YFL009W,YOL133W,17574027
YJL014W,YJL109C,29263326
YFR014C,YLL043W,16319894
YOR375C,YPL228W,16429126
YAL005C,YLR005W,19536198
YDL229W,YNL232W,19536198
YCL028W,YNL064C,19549854
YCR031C,YMR105C,31062022
YDR533C,YJR144W,19536198
YBL004W,YBR247C,16429126
YDR150W,YKL105C,22875988
YGL189C,YHL030W,21321079
YDR362C,YGL066W,30593915
YAL026C,YDR170C,18467557
YGR056W,YPR034W,32496195
YLR113W,YMR172W,20489023
YLL036C,YPR182W,11804584
YMR120C,YPL203W,16319894
YGL172W,YJR042W,11387327
YLR175W,YMR290C,11805826
YBL030C,YKR016W,21944719
YMR223W,YPL254W,14660634
YAL005C,YOL054W,19536198
YGR218W,YLL036C,26673895
YFR040W,YPL164C,31351878
YGR178C,YNL085W,15082763
YHR082C,YNL181W,16319894
YGL130W,YJL140W,33440147
YBL064C,YDR362C,30593915
YLR265C,YLR424W,17389648
YDR099W,YGL252C,16429126
YMR268C,YNL147W,18971323
YER151C,YER165W,20508643
YFL044C,YLR029C,22902402
YDR027C,YDR484W,12395193
YDR390C,YMR022W,14690591
YGR162W,YOL139C,9707439
YFR037C,YIL126W,16204215
YLR216C,YLR448W,25380751
YLR347C,YPL111W,11283351
YBR247C,YNL154C,16319894
YAL005C,YGL003C,19536198
YDR448W,YGR252W,14660704
YGL134W,YLR218C,16554755
YGL246C,YML010W,12556496
YNL132W,YOL121C,31062022
YDR064W,YIL079C,31062022
YDR479C,YMR116C,27129769
YKR001C,YLR065C,27905431
YAL001C,YBR009C,22199229
YFL002C,YMR142C,21825077
YBR009C,YCR093W,22199229
YGL123W,YML065W,20595233
YMR128W,YOR341W,29263326
YDR120C,YOL127W,31062022
YBR019C,YPL031C,16319894
YHL033C,YIL016W,22635919
YDR405W,YNL178W,31062022
YDR280W,YOR076C,12837249
YKL180W,YNR053C,11707418
YML049C,YOR319W,11805837
YDR328C,YLR097C,10582239
YER173W,YLR180W,11805837
YML010W,YOR123C,11927560
YLR382C,YOR369C,31062022
YAL005C,YBR048W,25452130
YGR130C,YJL164C,16319894
YDR172W,YDR172W,21423195
YDR188W,YHR040W,19536198
YER161C,YNL189W,16554755
YLR078C,YLR309C,22875988
YBR181C,YDR515W,31062022
YOR054C,YOR061W,20489023
YGR092W,YKL182W,11805837
YAL005C,YOL044W,22940862
YBL050W,YDR468C,10397773
YDR404C,YJL164C,20489023
YKL182W,YLR441C,31062022
YIL022W,YJR045C,17881357
YKL188C,YNL244C,23831759
YER022W,YGR005C,16885025
YLR298C,YML046W,16554755
YIL094C,YOR073W,11283351
YBR221C,YPL259C,11805826
YAL005C,YOR372C,19536198
YJR068W,YMR078C,11486023
YDR176W,YER148W,9488488
YBR142W,YLR441C,31062022
YHR170W,YJL122W,23045392
YFR012W,YNL124W,14690591
YBL099W,YKL016C,9867807
YBL085W,YCR031C,31062022
YIR010W,YPL004C,21107429
YGL150C,YPL129W,26798134
YDR219C,YDR328C,16790494
YHR152W,YMR181C,17634282
YEL062W,YOR138C,10688190
YDL229W,YPR191W,19536198
YAL047C,YOR058C,22875988
YMR080C,YOL040C,31062022
YJL010C,YPL217C,17956976
YBR247C,YDL153C,29054886
YKL204W,YLR432W,25973932
YDR432W,YOR151C,18077427
YOR281C,YPL240C,19536198
YCL014W,YHR135C,16319894
YER074W,YGR090W,12150911
YDR392W,YMR236W,16554755
YER052C,YLR293C,11805837
YEL013W,YPR185W,28533415
YAL016W,YDL134C,11805837
YGL123W,YHL034C,31062022
YDL060W,YPL266W,25474739
YDL229W,YMR183C,19536198
YBR126C,YDR074W,16554755
YDL074C,YDR450W,31062022
YDL232W,YMR149W,18334218
YFL008W,YJL074C,9990856
YHL015W,YPL169C,31062022
YHR083W,YNR032W,14690591
YBR253W,YOL135C,16429126
YFR031C,YMR236W,21734642
YER006W,YPL093W,12374754
YGL207W,YGR116W,12556496
YPR086W,YPR190C,28096404
YCL059C,YMR186W,29263326
YMR309C,YNL244C,29987188
YJL010C,YMR290C,17956976
YAL005C,YNL157W,19536198
YFL002C,YMR049C,30568249
YDR477W,YNL025C,10869433
YDL134C,YNL209W,23332755
YGR274C,YML114C,12215531
YFL017W,YPL213W,16618970
YBL050W,YHL031C,9755865
YHR082C,YNL289W,16330754
YLR071C,YPR187W,9234719
YBR247C,YPL217C,28244370
YDR206W,YKL074C,22287628
YMR239C,YNL209W,19536198
YDR052C,YDR052C,9790600
YDR457W,YFL039C,27552055
YBR118W,YDR523C,11805837
YGL103W,YML065W,20595233
YFR004W,YOR259C,22927375
YOL077C,YPL093W,16429126
YBR055C,YPL028W,11805837
YNL147W,YOR308C,16429126
YDR164C,YNR049C,16030256
YGR234W,YNL209W,23332755
YBL078C,YDR348C,33207182
YDL003W,YJL074C,28383696
YGR086C,YHL015W,31062022
YHR121W,YML064C,33481703
YHR135C,YMR316W,16319894
YDL044C,YHR174W,32877643
YLR344W,YOR063W,31062022
YDL214C,YHR060W,16319894
YBR243C,YOR151C,18467557
YDR295C,YOR290C,22875988
YIL094C,YKR048C,11805826
YGL003C,YPL256C,11566880
YHR064C,YHR179W,19536198
YAL005C,YCR089W,19536198
YHR215W,YPL106C,19536198
YDL098C,YLR147C,10377396
YML049C,YOR293W,31062022
YDR175C,YHR064C,19536198
Q0080,YDR377W,12626501
YAL005C,YOR267C,25452130
YAL047C,YOR195W,22875988
YBR082C,YER125W,19682071
YKR006C,YPL081W,31062022
YBL007C,YNL094W,19841731
YGL123W,YJR077C,31062022
YDL044C,YNL213C,32877643
YDL229W,YPL231W,19536198
YCL018W,YDR260C,11805837
YAL038W,YNL209W,24488121
YAL005C,YPL243W,19536198
YDR201W,YKL179C,22875988
YDL134C,YPL256C,23518505
YDR101C,YHR197W,17803941
YER091C,YOR212W,11805837
