INFLATION,N_EDGES,METHOD,XVAL_ITER,DENS_THRESH,MATCH_THRESH,N_CLUSTERS,PREC_NUM,RECALL_NUM,PREC,RECALL,F_SCORE
4,20k_edges,TOPO_L2,0,0.0,0.75,528,0,0,0.0,0.0,0.0
4,20k_edges,STRING,0,0.0,0.5,918,64,69,0.0735632183908046,0.5149253731343284,0.12873509605573857
4,20k_edges,STRING,0,0.0,0.75,918,15,15,0.01639344262295082,0.11194029850746269,0.028598665395614873
4,20k_edges,CO_OCCUR,0,0.0,0.5,1084,39,44,0.0375,0.3283582089552239,0.06731259561448241
4,20k_edges,CO_OCCUR,0,0.0,0.75,1084,9,9,0.008325624421831638,0.06716417910447761,0.014814814814814815
4,20k_edges,REL,0,0.0,0.5,737,44,50,0.06367583212735166,0.373134328358209,0.10878702467487514
4,20k_edges,REL,0,0.0,0.75,737,8,8,0.010899182561307902,0.05970149253731343,0.018433179723502304
4,20k_edges,CO_EXP,0,0.0,0.5,345,0,0,0.0,0.0,0.0
4,20k_edges,CO_EXP,0,0.0,0.75,345,0,0,0.0,0.0,0.0
4,20k_edges,GO_CC,0,0.0,0.5,311,66,72,0.2357142857142857,0.5373134328358209,0.3276789408357467
4,20k_edges,GO_CC,0,0.0,0.75,311,21,22,0.06796116504854369,0.16417910447761194,0.09612983770287141
4,20k_edges,GO_BP,0,0.0,0.5,636,22,24,0.036243822075782535,0.1791044776119403,0.060287736926238865
4,20k_edges,GO_BP,0,0.0,0.75,636,5,5,0.007886435331230283,0.03731343283582089,0.013020833333333332
4,20k_edges,GO_MF,0,0.0,0.5,565,19,21,0.03486238532110092,0.15671641791044777,0.057036666428418266
4,20k_edges,GO_MF,0,0.0,0.75,565,6,6,0.010714285714285714,0.04477611940298507,0.01729106628242075
4,20k_edges,ALL,0,0.0,0.5,682,66,73,0.10610932475884244,0.5447761194029851,0.1776221198156682
4,20k_edges,ALL,0,0.0,0.75,682,21,22,0.03115727002967359,0.16417910447761194,0.05237501417072894
4,20k_edges,GO_SS,0,0.0,0.5,638,43,47,0.07214765100671142,0.35074626865671643,0.11967785870788182
4,20k_edges,GO_SS,0,0.0,0.75,638,11,12,0.017488076311605722,0.08955223880597014,0.029261804477942806
4,20k_edges,TOPOS,0,0.0,0.5,270,38,40,0.1450381679389313,0.29850746268656714,0.1952221936809658
4,20k_edges,TOPOS,0,0.0,0.75,270,12,12,0.04460966542750929,0.08955223880597014,0.059553349875930514
4,20k_edges,ASSOC,0,0.0,0.5,789,52,56,0.0707482993197279,0.417910447761194,0.12101063829787234
4,20k_edges,ASSOC,0,0.0,0.75,789,8,8,0.010243277848911651,0.05970149253731343,0.017486338797814208
