PROTEIN_U,PROTEIN_V,TOPO
YDL017W,YNR048W,0.0
YDL017W,YOR006C,0.0
YBR274W,YMR255W,0.0
YBR274W,YLR258W,0.0
YBR284W,YMR138W,0.0
YCR005C,YJL042W,0.0
YBR135W,YGR108W,0.06502351316246142
YBR135W,YPR119W,0.07740897578151659
YNL135C,YPR119W,0.0
YDR386W,YPR119W,0.09731359150655404
YDR412W,YPR119W,0.0
YHR035W,YPR119W,0.0
YBR135W,YDL155W,0.07123797710550171
YAL040C,YJL013C,0.0
YLR433C,YNL047C,0.0
YKL190W,YMR211W,0.0
YBR155W,YDR463W,0.0
YOR039W,YOR302W,0.0
YNR010W,YOR174W,0.5325216412568416
YLL053C,YMR094W,0.0
YLL052C,YMR094W,0.0
YMR094W,YOR359W,0.0
YHR057C,YJR091C,0.0
YCR086W,YGR155W,0.0
YGL061C,YGR113W,0.7253166213441024
YNL118C,YOL149W,0.40111388222775135
YEL015W,YNL118C,0.48613917871746853
YDL160C,YOL149W,0.3491910358887275
YBR055C,YPR082C,0.37730801969646777
YDR480W,YPL049C,0.483986795201486
YER016W,YGL061C,0.0
YDR016C,YGL061C,0.4454871750955605
YDR206W,YOL149W,0.0
YDR206W,YER027C,0.0
YDR206W,YJL030W,0.0
YBR057C,YDR206W,0.0
YDR206W,YOR047C,0.0
YDR145W,YLR390W-A,0.0
YGL201C,YLR233C,0.0
YKL020C,YLR233C,0.0
YLR233C,YNL229C,0.0
YAL028W,YLR233C,0.0
YMR224C,YNL023C,0.0
YMR087W,YNL135C,0.0
YHR128W,YPR185W,0.0
YGL254W,YOR039W,0.0
YDR236C,YDR398W,0.0
YER052C,YNL135C,0.0
YBL042C,YER021W,0.0
YER017C,YMR089C,0.13235288253760233
YDR118W,YHR166C,0.8697837217691172
YDL193W,YOR026W,0.0
YJL019W,YLR233C,0.0
YDR176W,YGL013C,0.0
YGL112C,YGR274C,0.6542327553960924
YCL066W,YCR096C,0.28224872454205613
YCR040W,YCR096C,0.28224872454205613
YPR010C,YPR110C,0.2531611870399856
YFL039C,YHR179W,0.2137290335784516
YBR200W,YDR103W,0.0
YDR245W,YJR075W,0.6309286231007211
YLR127C,YNL172W,0.8593498192018459
YNL086W,YPR185W,0.1615397499266775
YNR022C,YPR119W,0.0
YJR125C,YOR111W,0.0
YML085C,YOL086C,0.0
YDR085C,YPL242C,0.0
YDL017W,YGR099W,0.0
YDR388W,YFL039C,0.3095916017449494
YDR382W,YFL039C,0.0
YNL271C,YPR165W,0.07278516385373514
YDR245W,YJL183W,0.6309286231007211
YDR088C,YGR006W,0.0
YDR264C,YPL242C,0.0
YDR167W,YPL129W,0.11232439812138784
YFL042C,YMR303C,0.021557466348290245
YDL220C,YDR082W,0.2343201414384122
YDL132W,YLR100W,0.0
YIR037W,YLR216C,0.0
YKL130C,YNL023C,0.0
YEL009C,YER022W,0.3494178636371669
YML085C,YNL148C,0.0
YFR036W,YGL240W,0.8677637850775723
YGL015C,YLR319C,0.0
YLR233C,YML038C,0.0
YBR073W,YER179W,0.01710475280027344
YDL150W,YGR047C,0.0
YLR200W,YML094W,0.593715497277529
YIL001W,YOL133W,0.0
YHR158C,YMR181C,0.0
YLR312C,YOL088C,0.0
YDR335W,YPR008W,0.0
YGR240C,YMR223W,0.0
YJL057C,YMR129W,0.12054701937244955
YMR308C,YOR020C,0.14296249258955437
YGL189C,YLR435W,0.0
YGL229C,YJL178C,0.0
YGR046W,YNL236W,0.0
YJR091C,YKR037C,0.0
YDR308C,YOR174W,0.5075281330752572
YBR188C,YLR117C,0.27214139756040173
YDR167W,YML015C,0.4681582302530183
YAR018C,YML064C,0.0
YER100W,YJR077C,0.0712409180226804
YBR077C,YMR004W,0.0
YBR103W,YIL112W,0.7879340051069061
YMR180C,YNL154C,0.0
YNL154C,YOR355W,0.0
YMR317W,YOL108C,0.0
YGL150C,YOR355W,0.0
YDL165W,YGR014W,0.0
YKR026C,YMR267W,0.0
YDL001W,YMR079W,0.0
YBR188C,YDR416W,0.36892104157736316
YML015C,YMR236W,0.44970602740590465
YGL166W,YML006C,0.0
YDL070W,YER133W,0.0
YER133W,YJL042W,0.05575241549010388
YER133W,YOR329C,0.0
YDR130C,YER133W,0.05575241549010388
YER133W,YHR100C,0.0
YER133W,YOR315W,0.0
YGL254W,YHR215W,0.0
YGL254W,YGR047C,0.0
YJL124C,YOR375C,0.013242717776026933
YGL122C,YMR255W,0.14431824755062678
YBR045C,YER133W,0.07082458652673627
YER133W,YIR006C,0.03510401914715091
YDR195W,YER133W,0.6285775625529014
YDR412W,YER133W,0.04766006013543809
YCL040W,YML099C,0.0
YBR040W,YCL040W,0.0
YFL017C,YOL059W,0.0
YNL047C,YPL059W,0.3092930480972674
YDR108W,YGR234W,0.0
YJR074W,YLR293C,0.10890819061670905
YJR074W,YOR185C,0.2323591352954374
YJL110C,YNL021W,0.23840938117441554
YBL021C,YGL237C,0.149646270176806
YGL237C,YOR358W,0.19465857647538815
YBL021C,YOR358W,0.15996319929999908
YDL013W,YDR510W,0.007718756026652589
YER062C,YPL201C,0.0
YJL092W,YOR355W,0.0
YDR510W,YJL092W,0.04898943292497962
YDR078C,YJL092W,0.0
YGL122C,YJL092W,0.0
YGL122C,YOL123W,0.0852639074898004
YHR185C,YPL204W,0.0
YJL141C,YOL133W,0.13124924239550254
YJL200C,YOL133W,0.0
YBR103W,YOR319W,0.09715711875221762
YLR403W,YOR025W,0.0
YDR225W,YKR048C,0.03962227839131529
YJL019W,YOL012C,0.0
YBR057C,YGL192W,0.15893958744961037
YKL135C,YOL108C,0.08905330611064977
YKL017C,YOL108C,0.0
YDR532C,YHR079C,0.0
YBR057C,YCL055W,0.15893958744961037
YDR017C,YDR099W,0.16297461185083753
YDR503C,YKL130C,0.0
YCR086W,YDR439W,0.0
YBL026W,YER146W,0.6584658216746248
YBL026W,YDR378C,0.7370745324802058
YBL026W,YNL147W,0.655939568254436
YBL026W,YGR158C,0.09650635992703482
YBL026W,YLR264W,0.31595809282956977
YBL026W,YLR275W,0.31244415076629656
YER112W,YOR039W,0.0
YDR378C,YER112W,0.6592194550775664
YER112W,YNL147W,0.6030193970224349
YJR022W,YOL149W,0.5844584967737958
YJR022W,YPR017C,0.01222262643434778
YER146W,YJR022W,0.6413896339532008
YEL053C,YPR051W,0.15893958744961037
YDR315C,YJR117W,0.0
YDR315C,YLR323C,0.0
YER131W,YLL027W,0.0
YGL189C,YLL027W,0.0
YER180C,YGL026C,0.0
YBR017C,YNR069C,0.0
YHR158C,YOR047C,0.0
YHR158C,YJR122W,0.0
YDR148C,YDR510W,0.06072753381054636
YDR122W,YOL082W,0.0
YKL103C,YOL082W,0.24023497794902204
YKL183W,YNL104C,0.0
YKL144C,YKL205W,0.0
YBL026W,YOL149W,0.676817182323649
YBL026W,YDL160C,0.3269355921085062
YBL026W,YJL124C,0.6503600692625416
YER112W,YJL124C,0.6179795210710177
YER112W,YLR264W,0.2580562893256482
YJR022W,YLR264W,0.2598006290678659
YGR057C,YKL015W,0.0
YCR020C-A,YEL053C,0.15893958744961037
YJR135C,YPR046W,0.0
YBR253W,YLR288C,0.031214957323410106
YOL135C,YOR174W,0.5413159986259325
YKL142W,YNL210W,0.0
YIL128W,YMR112C,0.0
YBR138C,YIL046W,0.0
YIL046W,YLR082C,0.08784660284740577
YBR270C,YIL046W,0.0
YEL015W,YIL046W,0.06357108829369636
YIL046W,YJL058C,0.0
YFL034C-B,YOL036W,0.0
YHR091C,YOL088C,0.0
YGL122C,YKR026C,0.0
YMR309C,YNL244C,0.5617075371133123
YMR309C,YNL047C,0.0
YIL144W,YPL174C,0.0
YFR037C,YMR091C,0.21541527432709007
YER105C,YJL030W,0.0
YDR228C,YDR448W,0.0
YDR228C,YOR250C,0.49823349662491934
YDR228C,YGL044C,0.28518974786341605
YDR228C,YLR424W,0.0
YDR228C,YPR049C,0.0
YDR228C,YPL031C,0.02127723890913529
YBR221C,YLR345W,0.0
YDR142C,YIL160C,0.15809721893630874
YGL215W,YPL031C,0.0
YER059W,YPL031C,0.0
YIL050W,YPL031C,0.1209929781539072
YDL179W,YPL031C,0.0
YJR159W,YPL031C,0.3139176577498583
YDL246C,YPL031C,0.3139176577498583
YDR313C,YPL133C,0.0
YBL105C,YML109W,0.037393655760117
YGR014W,YIL144W,0.0
YDL154W,YMR224C,0.13650921410491476
YDL154W,YGL025C,0.0
YDL154W,YIL144W,0.0
YDL154W,YGL170C,0.0
YDR335W,YGR009C,0.02478174222839591
YDR146C,YDR335W,0.0
YDR335W,YOR359W,0.0
YDL111C,YGR158C,0.704845918789068
YAL034W-A,YKL103C,0.0
YAL034W-A,YGR120C,0.0
YDL088C,YML031W,0.08036467958163303
YDL002C,YER092W,0.12526304125796575
YFR002W,YMR153W,0.24243134267407523
YFR002W,YGR120C,0.07518943064350787
YMR309C,YOR284W,0.0
YHR129C,YPL174C,0.1832909595130941
YJL184W,YPL174C,0.0
YBR170C,YGR048W,0.0638364257102145
YDR001C,YLR270W,0.0
YER099C,YOL069W,0.0
YER105C,YMR153W,0.1135469414023239
YEL015W,YER105C,0.0
YLR335W,YOR020C,0.0684864320082302
YGR119C,YJL041W,0.36886455209049723
YGL172W,YGR119C,0.7568518927902472
YGR119C,YMR236W,0.0
YLR254C,YOR269W,0.0
YDR228C,YMR061W,0.6669019951518328
YDR228C,YLR423C,0.0
YDL127W,YDR146C,0.0
YER059W,YJL084C,0.03120342194357507
YER059W,YLR190W,0.03751770700567402
YDR142C,YHR160C,0.17629527205107856
YDR142C,YGR239C,0.17439267592678212
